framework,fm,n_traces,n_present,prevalence_pct,mean_pct,median_pct,min_pct,max_pct
ChatDev,1.1,3,2,66.7,44.5,44.5,25.0,64.0
ChatDev,1.2,3,0,0.0,,,,
ChatDev,1.3,3,1,33.3,89.0,89.0,89.0,89.0
ChatDev,1.4,3,1,33.3,25.0,25.0,25.0,25.0
ChatDev,1.5,3,0,0.0,,,,
ChatDev,2.1,3,0,0.0,,,,
ChatDev,2.2,3,0,0.0,,,,
ChatDev,2.3,3,0,0.0,,,,
ChatDev,2.4,3,1,33.3,25.0,25.0,25.0,25.0
ChatDev,2.5,3,0,0.0,,,,
ChatDev,2.6,3,3,100.0,33.3,26.0,25.0,49.0
ChatDev,3.1,3,0,0.0,,,,
ChatDev,3.2,3,2,66.7,33.5,33.5,33.0,34.0
ChatDev,3.3,3,1,33.3,49.0,49.0,49.0,49.0
AG2,1.1,3,1,33.3,33.0,33.0,33.0,33.0
AG2,1.2,3,0,0.0,,,,
AG2,1.3,3,0,0.0,,,,
AG2,1.4,3,0,0.0,,,,
AG2,1.5,3,1,33.3,,,,
AG2,2.1,3,0,0.0,,,,
AG2,2.2,3,1,33.3,33.0,33.0,33.0,33.0
AG2,2.3,3,0,0.0,,,,
AG2,2.4,3,0,0.0,,,,
AG2,2.5,3,0,0.0,,,,
AG2,2.6,3,1,33.3,44.0,44.0,44.0,44.0
AG2,3.1,3,0,0.0,,,,
AG2,3.2,3,2,66.7,83.5,83.5,67.0,100.0
AG2,3.3,3,0,0.0,,,,
AppWorld,1.1,3,1,33.3,,,,
AppWorld,1.2,3,0,0.0,,,,
AppWorld,1.3,3,1,33.3,6.0,6.0,6.0,6.0
AppWorld,1.4,3,0,0.0,,,,
AppWorld,1.5,3,0,0.0,,,,
AppWorld,2.1,3,0,0.0,,,,
AppWorld,2.2,3,1,33.3,17.0,17.0,17.0,17.0
AppWorld,2.3,3,0,0.0,,,,
AppWorld,2.4,3,1,33.3,18.0,18.0,18.0,18.0
AppWorld,2.5,3,0,0.0,,,,
AppWorld,2.6,3,1,33.3,17.0,17.0,17.0,17.0
AppWorld,3.1,3,0,0.0,,,,
AppWorld,3.2,3,2,66.7,74.0,74.0,51.0,97.0
AppWorld,3.3,3,0,0.0,,,,
HyperAgent,1.1,3,1,33.3,,,,
HyperAgent,1.2,3,0,0.0,,,,
HyperAgent,1.3,3,3,100.0,57.3,64.0,36.0,72.0
HyperAgent,1.4,3,2,66.7,67.0,67.0,67.0,67.0
HyperAgent,1.5,3,0,0.0,,,,
HyperAgent,2.1,3,0,0.0,,,,
HyperAgent,2.2,3,1,33.3,48.0,48.0,48.0,48.0
HyperAgent,2.3,3,1,33.3,62.0,62.0,62.0,62.0
HyperAgent,2.4,3,1,33.3,47.0,47.0,47.0,47.0
HyperAgent,2.5,3,1,33.3,77.0,77.0,77.0,77.0
HyperAgent,2.6,3,3,100.0,55.3,45.0,36.0,85.0
HyperAgent,3.1,3,0,0.0,,,,
HyperAgent,3.2,3,1,33.3,34.0,34.0,34.0,34.0
HyperAgent,3.3,3,1,33.3,97.0,97.0,97.0,97.0
MetaGPT,1.1,3,1,33.3,20.0,20.0,20.0,20.0
MetaGPT,1.2,3,0,0.0,,,,
MetaGPT,1.3,3,0,0.0,,,,
MetaGPT,1.4,3,0,0.0,,,,
MetaGPT,1.5,3,1,33.3,,,,
MetaGPT,2.1,3,0,0.0,,,,
MetaGPT,2.2,3,0,0.0,,,,
MetaGPT,2.3,3,0,0.0,,,,
MetaGPT,2.4,3,0,0.0,,,,
MetaGPT,2.5,3,1,33.3,80.0,80.0,80.0,80.0
MetaGPT,2.6,3,0,0.0,,,,
MetaGPT,3.1,3,1,33.3,,,,
MetaGPT,3.2,3,3,100.0,53.3,40.0,40.0,80.0
MetaGPT,3.3,3,1,33.3,40.0,40.0,40.0,40.0
MagenticOne,1.1,3,2,66.7,100.0,100.0,100.0,100.0
MagenticOne,1.2,3,0,0.0,,,,
MagenticOne,1.3,3,1,33.3,93.0,93.0,93.0,93.0
MagenticOne,1.4,3,0,0.0,,,,
MagenticOne,1.5,3,2,66.7,,,,
MagenticOne,2.1,3,0,0.0,,,,
MagenticOne,2.2,3,1,33.3,16.0,16.0,16.0,16.0
MagenticOne,2.3,3,1,33.3,88.0,88.0,88.0,88.0
MagenticOne,2.4,3,1,33.3,40.0,40.0,40.0,40.0
MagenticOne,2.5,3,1,33.3,23.0,23.0,23.0,23.0
MagenticOne,2.6,3,2,66.7,58.0,58.0,16.0,100.0
MagenticOne,3.1,3,2,66.7,,,,
MagenticOne,3.2,3,3,100.0,53.0,42.0,23.0,94.0
MagenticOne,3.3,3,0,0.0,,,,
OpenManus,1.1,3,1,33.3,,,,
OpenManus,1.2,3,0,0.0,,,,
OpenManus,1.3,3,3,100.0,68.0,76.0,49.0,79.0
OpenManus,1.4,3,0,0.0,,,,
OpenManus,1.5,3,2,66.7,,,,
OpenManus,2.1,3,0,0.0,,,,
OpenManus,2.2,3,1,33.3,17.0,17.0,17.0,17.0
OpenManus,2.3,3,1,33.3,41.0,41.0,41.0,41.0
OpenManus,2.4,3,0,0.0,,,,
OpenManus,2.5,3,0,0.0,,,,
OpenManus,2.6,3,3,100.0,52.3,66.0,11.0,80.0
OpenManus,3.1,3,0,0.0,,,,
OpenManus,3.2,3,2,66.7,75.5,75.5,66.0,85.0
OpenManus,3.3,3,0,0.0,,,,
