framework,fm,n_traces,n_present,prevalence_pct,mean_pct,median_pct,std_pct,min_pct,max_pct
ChatDev,1.1,30,13,43.3,,,,,
ChatDev,1.2,30,6,20.0,74.0,84.5,21.8,40.0,91.0
ChatDev,1.3,30,17,56.7,73.2,75.0,18.6,34.0,91.0
ChatDev,1.4,30,3,10.0,46.0,47.0,12.5,33.0,58.0
ChatDev,1.5,30,14,46.7,,,,,
ChatDev,2.1,30,1,3.3,40.0,40.0,,40.0,40.0
ChatDev,2.2,30,5,16.7,71.0,74.0,14.8,54.0,91.0
ChatDev,2.3,30,4,13.3,77.2,82.5,16.8,54.0,90.0
ChatDev,2.4,30,4,13.3,54.8,48.0,32.0,24.0,99.0
ChatDev,2.5,30,12,40.0,64.4,65.5,23.6,24.0,91.0
ChatDev,2.6,30,22,73.3,47.4,39.5,25.2,21.0,91.0
ChatDev,3.1,30,4,13.3,,,,,
ChatDev,3.2,30,16,53.3,56.8,62.0,23.3,24.0,87.0
ChatDev,3.3,30,12,40.0,62.1,77.5,21.0,32.0,79.0
AG2,1.1,30,20,66.7,,,,,
AG2,1.2,30,0,0.0,,,,,
AG2,1.3,30,1,3.3,44.0,44.0,,44.0,44.0
AG2,1.4,30,0,0.0,,,,,
AG2,1.5,30,2,6.7,,,,,
AG2,2.1,30,0,0.0,,,,,
AG2,2.2,30,8,26.7,31.5,33.0,13.2,20.0,60.0
AG2,2.3,30,1,3.3,60.0,60.0,,60.0,60.0
AG2,2.4,30,0,0.0,,,,,
AG2,2.5,30,1,3.3,22.0,22.0,,22.0,22.0
AG2,2.6,30,6,20.0,47.2,38.0,29.9,14.0,100.0
AG2,3.1,30,1,3.3,,,,,
AG2,3.2,30,20,66.7,88.8,100.0,22.6,20.0,100.0
AG2,3.3,30,2,6.7,46.5,46.5,19.1,33.0,60.0
AppWorld,1.1,30,22,73.3,,,,,
AppWorld,1.2,30,0,0.0,,,,,
AppWorld,1.3,30,11,36.7,44.8,41.0,29.1,3.0,83.0
AppWorld,1.4,30,3,10.0,17.0,18.0,11.5,5.0,28.0
AppWorld,1.5,30,3,10.0,,,,,
AppWorld,2.1,30,2,6.7,34.0,34.0,41.0,5.0,63.0
AppWorld,2.2,30,20,66.7,51.8,56.0,26.8,2.0,86.0
AppWorld,2.3,30,6,20.0,56.3,59.0,29.7,19.0,91.0
AppWorld,2.4,30,3,10.0,63.7,66.0,9.7,53.0,72.0
AppWorld,2.5,30,9,30.0,40.0,34.0,24.4,6.0,87.0
AppWorld,2.6,30,23,76.7,45.7,39.0,27.0,11.0,96.0
AppWorld,3.1,30,7,23.3,,,,,
AppWorld,3.2,30,21,70.0,62.1,61.0,29.8,13.0,99.0
AppWorld,3.3,30,1,3.3,27.0,27.0,,27.0,27.0
HyperAgent,1.1,28,10,35.7,,,,,
HyperAgent,1.2,28,13,46.4,35.3,31.0,27.6,2.0,95.0
HyperAgent,1.3,28,27,96.4,43.4,39.0,21.1,8.0,77.0
HyperAgent,1.4,28,7,25.0,56.4,67.0,32.7,7.0,90.0
HyperAgent,1.5,28,13,46.4,,,,,
HyperAgent,2.1,28,11,39.3,29.9,20.0,25.6,7.0,88.0
HyperAgent,2.2,28,12,42.9,54.3,56.0,28.7,10.0,100.0
HyperAgent,2.3,28,9,32.1,54.9,53.0,25.3,22.0,96.0
HyperAgent,2.4,28,8,28.6,65.5,68.0,17.0,32.0,82.0
HyperAgent,2.5,28,15,53.6,58.6,62.0,28.9,16.0,100.0
HyperAgent,2.6,28,27,96.4,44.4,40.0,28.5,2.0,96.0
HyperAgent,3.1,28,9,32.1,,,,,
HyperAgent,3.2,28,18,64.3,59.7,56.5,32.8,12.0,100.0
HyperAgent,3.3,28,13,46.4,78.5,87.0,26.8,15.0,100.0
MetaGPT,1.1,30,16,53.3,,,,,
MetaGPT,1.2,30,0,0.0,,,,,
MetaGPT,1.3,30,2,6.7,80.0,80.0,0.0,80.0,80.0
MetaGPT,1.4,30,1,3.3,80.0,80.0,,80.0,80.0
MetaGPT,1.5,30,6,20.0,,,,,
MetaGPT,2.1,30,1,3.3,80.0,80.0,,80.0,80.0
MetaGPT,2.2,30,7,23.3,48.6,40.0,25.4,20.0,80.0
MetaGPT,2.3,30,0,0.0,,,,,
MetaGPT,2.4,30,0,0.0,,,,,
MetaGPT,2.5,30,7,23.3,80.0,80.0,0.0,80.0,80.0
MetaGPT,2.6,30,12,40.0,63.3,80.0,25.3,20.0,80.0
MetaGPT,3.1,30,17,56.7,,,,,
MetaGPT,3.2,30,24,80.0,61.7,50.0,25.0,40.0,100.0
MetaGPT,3.3,30,12,40.0,60.0,60.0,20.9,40.0,80.0
MagenticOne,1.1,30,15,50.0,,,,,
MagenticOne,1.2,30,5,16.7,62.8,70.0,30.5,16.0,100.0
MagenticOne,1.3,30,16,53.3,46.9,42.0,26.8,9.0,95.0
MagenticOne,1.4,30,4,13.3,63.0,59.0,24.0,39.0,95.0
MagenticOne,1.5,30,15,50.0,,,,,
MagenticOne,2.1,30,2,6.7,34.0,34.0,0.0,34.0,34.0
MagenticOne,2.2,30,16,53.3,40.8,27.5,29.1,7.0,100.0
MagenticOne,2.3,30,7,23.3,50.1,52.0,28.4,21.0,100.0
MagenticOne,2.4,30,6,20.0,29.0,25.0,23.7,7.0,75.0
MagenticOne,2.5,30,12,40.0,43.6,41.0,19.8,22.0,76.0
MagenticOne,2.6,30,21,70.0,72.5,75.0,25.8,16.0,100.0
MagenticOne,3.1,30,11,36.7,,,,,
MagenticOne,3.2,30,15,50.0,72.5,96.0,37.3,12.0,100.0
MagenticOne,3.3,30,1,3.3,61.0,61.0,,61.0,61.0
OpenManus,1.1,30,17,56.7,,,,,
OpenManus,1.2,30,2,6.7,2.0,2.0,,2.0,2.0
OpenManus,1.3,30,29,96.7,49.1,50.0,21.5,15.0,89.0
OpenManus,1.4,30,4,13.3,73.2,75.5,13.8,55.0,87.0
OpenManus,1.5,30,22,73.3,,,,,
OpenManus,2.1,30,2,6.7,49.0,49.0,31.1,27.0,71.0
OpenManus,2.2,30,10,33.3,36.2,38.0,26.5,2.0,90.0
OpenManus,2.3,30,7,23.3,36.6,20.0,31.2,2.0,90.0
OpenManus,2.4,30,1,3.3,9.0,9.0,,9.0,9.0
OpenManus,2.5,30,4,13.3,50.2,50.5,41.2,2.0,98.0
OpenManus,2.6,30,21,70.0,53.2,55.0,29.1,12.0,100.0
OpenManus,3.1,30,8,26.7,,,,,
OpenManus,3.2,30,17,56.7,66.1,67.0,23.2,16.0,100.0
OpenManus,3.3,30,4,13.3,67.0,66.5,25.6,43.0,92.0
