config,model,F1_1.1,F1_1.2,F1_1.3,F1_1.4,F1_1.5,F1_2.1,F1_2.2,F1_2.3,F1_2.4,F1_2.5,F1_2.6,F1_3.1,F1_3.2,F1_3.3,macro_F1,micro_F1,kappa,macro_F1_ci_lo,macro_F1_ci_hi,kappa_ci_lo,kappa_ci_hi,total_cost_usd,mean_cost_usd,mean_latency_s
claude-sonnet-4-6_zero_shot,claude-sonnet-4-6,0.5,0.0,0.2353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3158,0.0,0.1667,0.4615,0.1199,0.2535,0.1087,0.07,0.1645,-0.012,0.2532,1.5127,0.0504,5.6291
claude-sonnet-4-6_few_shot,claude-sonnet-4-6,0.5,0.0,0.1333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.1818,0.5455,0.1258,0.2769,0.1591,0.0749,0.1713,0.026,0.3027,3.2039,0.1068,5.8093
gemini-2.5-pro_zero_shot,gemini-2.5-pro,0.3333,0.0,0.4348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2609,0.0,0.0,0.3636,0.0995,0.2207,0.0639,0.063,0.129,-0.0294,0.1722,1.1936,0.0398,21.9752
gemini-2.5-pro_few_shot,gemini-2.5-pro,0.3704,0.0,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.1905,0.0,0.0,0.56,0.1336,0.274,0.1262,0.0832,0.1772,0.0308,0.2326,2.5543,0.0851,22.7724
gemini-2.5-flash_zero_shot,gemini-2.5-flash,0.4167,0.0,0.3529,0.0,0.0,0.0,0.0,0.1818,0.0,0.0,0.4667,0.0,0.1538,0.1333,0.1218,0.225,0.0435,0.0657,0.1656,-0.0486,0.1488,0.1533,0.0051,15.8187
gemini-2.5-flash_few_shot,gemini-2.5-flash,0.4444,0.0,0.125,0.0,0.0,0.0,0.0,0.1818,0.0,0.0,0.4286,0.0,0.0,0.381,0.1115,0.2222,0.0369,0.065,0.1558,-0.0735,0.1758,0.3148,0.0105,15.2502
